iter	Passed	Remaining
0	110	274114
1	131	162762
2	153	126232
3	173	107146
4	199	98549
5	218	90046
6	238	84026
7	258	79721
8	277	76213
9	297	73493
10	317	71284
11	339	69686
12	360	68262
13	380	66993
14	401	65984
15	421	64876
16	441	63955
17	461	63131
18	482	62453
19	502	61696
20	527	61686
21	551	61599
22	573	61179
23	597	61090
24	617	60621
25	639	60292
26	659	59839
27	679	59428
28	698	58975
29	717	58520
30	737	58206
31	758	57972
32	781	57918
33	802	57688
34	822	57380
35	841	57074
36	861	56846
37	881	56572
38	900	56330
39	919	56071
40	941	55949
41	961	55781
42	985	55813
43	1005	55635
44	1025	55469
45	1045	55269
46	1065	55104
47	1088	55094
48	1108	54965
49	1128	54791
50	1149	54684
51	1170	54589
52	1195	54688
53	1215	54570
54	1236	54453
55	1255	54300
56	1277	54278
57	1299	54206
58	1319	54096
59	1339	53990
60	1360	53924
61	1385	53980
62	1406	53913
63	1426	53807
64	1445	53679
65	1465	53561
66	1489	53592
67	1509	53482
68	1530	53437
69	1550	53350
70	1573	53326
71	1596	53345
72	1620	53386
73	1640	53305
74	1660	53193
75	1684	53245
76	1705	53173
77	1726	53118
78	1747	53056
79	1768	53014
80	1791	53018
81	1812	52974
82	1833	52896
83	1853	52814
84	1876	52824
85	1896	52747
86	1916	52682
87	1937	52628
88	1957	52556
89	1984	52645
90	2005	52597
91	2026	52549
92	2047	52505
93	2069	52489
94	2094	52538
95	2114	52472
96	2135	52420
97	2156	52368
98	2184	52484
99	2203	52404
100	2223	52333
101	2244	52290
102	2267	52292
103	2289	52269
104	2309	52184
105	2329	52133
106	2350	52086
107	2375	52136
108	2396	52086
109	2417	52034
110	2437	51976
111	2457	51922
112	2482	51958
113	2505	51958
114	2525	51903
115	2547	51869
116	2571	51893
117	2594	51881
118	2616	51859
119	2636	51800
120	2656	51749
121	2679	51752
122	2700	51698
123	2720	51642
124	2741	51601
125	2763	51594
126	2786	51578
127	2807	51538
128	2827	51490
129	2847	51439
130	2872	51470
131	2894	51440
132	2915	51404
133	2936	51370
134	2960	51381
135	2981	51346
136	3001	51295
137	3022	51244
138	3043	51206
139	3066	51207
140	3088	51189
141	3108	51144
142	3129	51107
143	3150	51067
144	3176	51105
145	3196	51058
146	3217	51023
147	3238	50979
148	3260	50967
149	3281	50928
150	3301	50879
151	3323	50857
152	3343	50812
153	3370	50857
154	3390	50808
155	3410	50770
156	3431	50727
157	3452	50693
158	3475	50685
159	3495	50638
160	3518	50638
161	3539	50594
162	3565	50639
163	3587	50612
164	3610	50608
165	3629	50551
166	3655	50590
167	3675	50544
168	3696	50508
169	3717	50471
170	3738	50437
171	3763	50457
172	3784	50418
173	3804	50378
174	3825	50342
175	3845	50296
176	3870	50312
177	3890	50274
178	3911	50239
179	3931	50193
180	3956	50212
181	3976	50168
182	3996	50119
183	4017	50089
184	4037	50048
185	4063	50073
186	4084	50037
187	4105	50011
188	4126	49980
189	4149	49964
190	4171	49946
191	4191	49907
192	4211	49866
193	4232	49831
194	4255	49824
195	4277	49805
196	4298	49770
197	4318	49728
198	4338	49689
199	4363	49699
200	4383	49655
201	4402	49608
202	4422	49567
203	4444	49544
204	4467	49538
205	4488	49504
206	4508	49466
207	4530	49445
208	4555	49456
209	4578	49443
210	4601	49436
211	4621	49401
212	4646	49409
213	4666	49370
214	4687	49338
215	4708	49307
216	4727	49260
217	4752	49272
218	4773	49240
219	4794	49209
220	4814	49168
221	4835	49141
222	4859	49139
223	4880	49107
224	4901	49076
225	4922	49051
226	4944	49035
227	4966	49009
228	4986	48976
229	5008	48949
230	5028	48911
231	5051	48908
232	5074	48889
233	5095	48864
234	5116	48833
235	5140	48834
236	5161	48806
237	5181	48770
238	5202	48740
239	5222	48704
240	5248	48718
241	5269	48691
242	5290	48663
243	5311	48632
244	5333	48613
245	5356	48600
246	5376	48558
247	5396	48527
248	5417	48497
249	5443	48516
250	5465	48490
251	5485	48455
252	5506	48426
253	5526	48389
254	5553	48415
255	5583	48465
256	5611	48495
257	5642	48549
258	5668	48567
259	5694	48577
260	5718	48577
261	5746	48603
262	5775	48642
263	5803	48666
264	5834	48723
265	5860	48731
266	5887	48752
267	5912	48756
268	5943	48807
269	5972	48842
270	5997	48844
271	6023	48853
272	6056	48914
273	6083	48932
274	6108	48936
275	6140	48989
276	6164	48983
277	6189	48982
278	6214	48977
279	6244	49019
280	6269	49015
281	6293	49011
282	6319	49015
283	6352	49071
284	6378	49079
285	6403	49079
286	6432	49108
287	6459	49121
288	6486	49127
289	6511	49127
290	6545	49195
291	6572	49202
292	6600	49219
293	6627	49231
294	6655	49248
295	6679	49238
296	6705	49241
297	6738	49295
298	6763	49290
299	6788	49287
300	6815	49291
301	6846	49333
302	6873	49338
303	6899	49341
304	6928	49365
305	6953	49359
306	6979	49355
307	7004	49349
308	7033	49373
309	7060	49377
310	7085	49373
311	7111	49371
312	7141	49395
313	7167	49393
314	7192	49385
315	7217	49380
316	7245	49396
317	7271	49389
318	7296	49384
319	7330	49436
320	7358	49446
321	7385	49451
322	7410	49444
323	7442	49481
324	7468	49473
325	7493	49466
326	7524	49493
327	7552	49504
328	7578	49503
329	7605	49506
330	7636	49532
331	7661	49522
332	7686	49511
333	7716	49533
334	7744	49540
335	7769	49530
336	7794	49519
337	7824	49542
338	7851	49541
339	7877	49538
340	7904	49535
341	7939	49584
342	7967	49590
343	7994	49592
344	8030	49649
345	8057	49647
346	8079	49619
347	8099	49574
348	8122	49550
349	8144	49518
350	8164	49473
351	8185	49437
352	8206	49401
353	8230	49385
354	8251	49346
355	8271	49305
356	8292	49270
357	8314	49237
358	8336	49203
359	8356	49165
360	8377	49126
361	8397	49083
362	8421	49069
363	8442	49030
364	8462	48988
365	8482	48948
366	8502	48909
367	8527	48892
368	8548	48856
369	8570	48826
370	8592	48801
371	8617	48787
372	8638	48750
373	8660	48719
374	8681	48687
375	8702	48653
376	8725	48624
377	8745	48586
378	8765	48544
379	8785	48505
380	8810	48493
381	8831	48457
382	8851	48419
383	8872	48385
384	8893	48350
385	8916	48326
386	8936	48287
387	8956	48247
388	8976	48206
389	8997	48168
390	9021	48153
391	9041	48111
392	9062	48078
393	9083	48045
394	9108	48033
395	9128	47995
396	9149	47959
397	9169	47921
398	9189	47880
399	9214	47869
400	9234	47832
401	9255	47796
402	9276	47764
403	9299	47742
404	9321	47710
405	9341	47675
406	9361	47637
407	9382	47600
408	9404	47576
409	9426	47544
410	9445	47505
411	9466	47470
412	9487	47437
413	9517	47447
414	9538	47417
415	9560	47390
416	9580	47350
417	9606	47344
418	9627	47309
419	9647	47272
420	9667	47235
421	9686	47192
422	9708	47163
423	9729	47131
424	9749	47095
425	9770	47062
426	9789	47021
427	9813	47003
428	9834	46969
429	9854	46932
430	9874	46899
431	9897	46877
432	9918	46845
433	9940	46816
434	9970	46828
435	9991	46793
436	10011	46756
437	10031	46722
438	10056	46708
439	10075	46668
440	10095	46632
441	10114	46592
442	10134	46556
443	10159	46542
444	10179	46506
445	10200	46472
446	10221	46440
447	10241	46405
448	10266	46392
449	10287	46364
450	10307	46328
451	10327	46292
452	10352	46278
453	10373	46244
454	10396	46226
455	10419	46202
456	10439	46167
457	10464	46153
458	10483	46114
459	10505	46087
460	10525	46051
461	10547	46025
462	10567	45991
463	10589	45963
464	10609	45929
465	10630	45896
466	10655	45883
467	10674	45847
468	10694	45810
469	10714	45776
470	10734	45741
471	10757	45719
472	10777	45684
473	10797	45648
474	10818	45619
475	10841	45597
476	10862	45568
477	10882	45532
478	10901	45495
479	10921	45462
480	10946	45445
481	10967	45418
482	10987	45382
483	11007	45349
484	11028	45319
485	11054	45308
486	11074	45275
487	11094	45242
488	11114	45207
