iter	RMSE
0	0.5304661716
1	0.5250300976
2	0.5197931536
3	0.5146428438
4	0.509602846
5	0.5046896692
6	0.4998775362
7	0.4951949688
8	0.4906228959
9	0.4861441769
10	0.4818104014
11	0.4775423683
12	0.4733846303
13	0.4693264434
14	0.4653457144
15	0.4614630597
16	0.4576469378
17	0.4538891156
18	0.4502649821
19	0.4467622829
20	0.4433002446
21	0.4399239235
22	0.4366575607
23	0.4335059068
24	0.4303203606
25	0.4273168226
26	0.424215325
27	0.4212578704
28	0.4184211386
29	0.4155329137
30	0.4127936628
31	0.4100408655
32	0.4071867122
33	0.4044056359
34	0.4018593487
35	0.3992932242
36	0.3966609146
37	0.3941077815
38	0.3916318299
39	0.3892296143
40	0.386777329
41	0.3843013001
42	0.3819017414
43	0.379567553
44	0.3772749966
45	0.3750234931
46	0.3727497739
47	0.3707515068
48	0.3686045984
49	0.3664862497
50	0.3643612403
51	0.3623502811
52	0.3602938568
53	0.3582909923
54	0.3563874517
55	0.3544691928
56	0.3526309029
57	0.3508370679
58	0.3491358925
59	0.3473932661
60	0.3452789818
61	0.3431881439
62	0.3415277865
63	0.3395367081
64	0.3376104784
65	0.3360005745
66	0.3343975495
67	0.3326961603
68	0.3312010763
69	0.3295741168
70	0.3278080764
71	0.3261942299
72	0.324416907
73	0.3229308741
74	0.3211027213
75	0.3196899183
76	0.3183354325
77	0.3167273423
78	0.3151710288
79	0.3138613397
80	0.3125539104
81	0.3112551843
82	0.3100550672
83	0.3088315101
84	0.3073552392
85	0.3059881738
86	0.3048335372
87	0.30336932
88	0.3022360925
89	0.3008289516
90	0.2994661327
91	0.2984256396
92	0.2973408795
93	0.2963270991
94	0.2952219571
95	0.2938424621
96	0.2925934463
97	0.2913551981
98	0.2901570571
99	0.2889820479
100	0.2880389628
101	0.2870465977
102	0.2861267592
103	0.2850823445
104	0.2841725908
105	0.2831059159
106	0.2821191517
107	0.2812637781
108	0.2804339598
109	0.2787758225
110	0.2778979108
111	0.2770731643
112	0.2761679613
113	0.2753356689
114	0.2742816555
115	0.273366037
116	0.2723631848
117	0.2715109559
118	0.2706101031
119	0.2698924836
120	0.2690535925
121	0.2682231769
122	0.2675600947
123	0.2660069661
124	0.2651903754
125	0.2636362642
126	0.2627779793
127	0.2619207988
128	0.2611819317
129	0.2604852024
130	0.259814291
131	0.2591452565
132	0.2583558573
133	0.2576331615
134	0.2561641425
135	0.2555153535
136	0.2548776348
137	0.2540977266
138	0.2533311324
139	0.252626105
140	0.2520372474
141	0.2513243436
142	0.250760347
143	0.2501383802
144	0.2487689125
145	0.2480901411
146	0.2475429055
147	0.2469614776
148	0.2464534622
149	0.2458957855
150	0.2452576706
151	0.2447011268
152	0.2441789457
153	0.2436279498
154	0.243101175
155	0.2426239524
156	0.2421406827
