iter	Passed	Remaining
0	167	415050
1	187	232323
2	208	171956
3	228	141133
4	248	122721
5	267	110368
6	287	101568
7	307	95063
8	328	90202
9	351	86689
10	374	84070
11	397	81591
12	418	79290
13	439	77316
14	458	75303
15	478	73578
16	496	71940
17	515	70410
18	533	69022
19	552	67909
20	572	66952
21	591	66036
22	611	65244
23	630	64473
24	649	63717
25	671	63320
26	692	62822
27	713	62394
28	733	61977
29	754	61576
30	774	61157
31	794	60722
32	813	60286
33	833	59882
34	853	59591
35	873	59237
36	893	58916
37	912	58617
38	933	58384
39	953	58094
40	972	57810
41	993	57617
42	1013	57402
43	1035	57286
44	1055	57087
45	1074	56820
46	1093	56550
47	1111	56261
48	1130	56038
49	1149	55800
50	1167	55568
51	1187	55401
52	1206	55219
53	1226	55044
54	1244	54837
55	1263	54665
56	1283	54510
57	1306	54528
58	1328	54459
59	1348	54360
60	1369	54255
61	1390	54187
62	1409	54045
63	1428	53880
64	1448	53773
65	1468	53655
66	1488	53580
67	1509	53515
68	1530	53422
69	1549	53290
70	1568	53184
71	1588	53085
72	1610	53055
73	1631	52997
74	1651	52900
75	1669	52779
76	1688	52661
77	1710	52621
78	1731	52571
79	1750	52479
80	1769	52364
81	1788	52271
82	1807	52168
83	1826	52065
84	1846	51981
85	1865	51878
86	1883	51773
87	1902	51664
88	1922	51598
89	1941	51513
90	1960	51437
91	1980	51364
92	2000	51295
93	2019	51220
94	2039	51151
95	2059	51089
96	2078	51011
97	2097	50943
98	2116	50858
99	2135	50789
100	2155	50723
101	2174	50644
102	2193	50578
103	2212	50504
104	2231	50433
105	2250	50369
106	2270	50310
107	2290	50272
108	2312	50249
109	2332	50205
110	2352	50166
111	2372	50119
112	2391	50060
113	2411	50016
114	2431	49970
115	2450	49906
116	2470	49848
117	2489	49793
118	2509	49747
119	2528	49689
120	2547	49622
121	2566	49564
122	2585	49507
123	2605	49455
124	2626	49432
125	2645	49380
126	2664	49327
127	2684	49284
128	2703	49227
129	2722	49166
130	2740	49100
131	2759	49049
132	2778	48980
133	2796	48920
134	2815	48865
135	2834	48805
136	2853	48760
137	2872	48711
138	2891	48653
139	2910	48606
140	2929	48556
141	2948	48507
142	2968	48466
143	2987	48426
144	3008	48400
145	3028	48370
146	3049	48361
147	3074	48399
148	3097	48416
149	3119	48414
150	3140	48401
151	3161	48384
152	3182	48358
153	3202	48330
154	3222	48288
155	3241	48241
156	3261	48216
157	3281	48181
158	3303	48176
159	3323	48152
160	3342	48100
161	3361	48060
162	3381	48021
163	3400	47986
164	3420	47943
165	3438	47889
166	3457	47840
167	3475	47788
168	3495	47754
169	3514	47711
170	3533	47666
171	3552	47621
172	3571	47582
173	3590	47544
174	3610	47518
175	3629	47476
176	3648	47436
177	3668	47403
178	3688	47371
179	3708	47339
180	3727	47307
181	3746	47268
182	3765	47223
183	3784	47181
184	3803	47146
185	3822	47107
186	3841	47066
187	3860	47025
188	3879	46980
189	3899	46954
190	3918	46919
191	3936	46871
192	3955	46829
193	3975	46804
194	3995	46780
195	4016	46767
196	4035	46722
197	4053	46681
198	4073	46649
199	4091	46605
200	4111	46574
201	4130	46538
202	4150	46514
203	4169	46480
204	4188	46440
205	4206	46396
206	4225	46355
207	4244	46317
208	4263	46285
209	4282	46250
210	4301	46214
211	4320	46178
212	4338	46135
213	4356	46089
214	4375	46055
215	4394	46021
216	4413	45982
217	4432	45947
218	4451	45912
219	4470	45880
220	4488	45841
221	4507	45806
222	4526	45776
223	4544	45731
224	4563	45696
225	4582	45663
226	4600	45619
227	4618	45581
228	4637	45541
229	4655	45505
230	4675	45475
231	4693	45436
232	4711	45398
233	4730	45364
234	4749	45331
235	4768	45298
236	4786	45259
237	4805	45225
238	4824	45193
239	4842	45160
240	4861	45125
241	4880	45097
242	4899	45066
243	4918	45030
244	4937	45003
245	4957	44977
246	4976	44951
247	4994	44913
248	5013	44879
249	5031	44844
250	5050	44808
251	5068	44774
252	5088	44747
253	5106	44714
254	5125	44685
255	5144	44652
256	5164	44629
257	5183	44604
258	5203	44580
259	5221	44547
260	5240	44513
261	5258	44480
262	5278	44460
263	5297	44429
264	5318	44418
265	5337	44388
266	5356	44360
267	5376	44337
268	5398	44335
269	5418	44309
270	5437	44282
271	5457	44265
272	5479	44261
273	5502	44259
274	5524	44257
275	5544	44236
276	5565	44220
277	5585	44202
278	5604	44175
279	5626	44170
280	5646	44146
281	5666	44122
