avatar_name,language,city,date,mobile
turtles2555,german,copenhagen,13,0
turtles2556,italian,vilnius,12,0
turtles2557,austrian,valletta,19,1
turtles2558,spanish,valletta,21,0
turtles2559,belgian,vienna,37,0
turtles2560,hungarian,madrid,11,0
turtles2561,slovene,sofia,3,0
turtles2562,luxembourgish,vilnius,8,1
turtles2563,cypriot,valletta,40,0
turtles2564,slovene,vienna,24,0
turtles2100,portuguese,paris,5,1
turtles2105,luxembourgish,rome,41,1
turtles2110,austrian,rome,36,0
turtles2115,croatian,amsterdam,8,1
turtles2120,romanian,vilnius,29,0
turtles2125,luxembourgish,vienna,5,0
turtles2130,portuguese,madrid,17,0
turtles2135,luxembourgish,paris,4,1
turtles2140,greek,vienna,35,1
turtles2145,estonian,paris,20,1
turtles2150,danish,sofia,37,1
turtles2155,french,paris,0,1
turtles2160,belgian,copenhagen,26,1
turtles2165,czech,vilnius,41,1
turtles2170,belgian,copenhagen,10,0
turtles2175,romanian,copenhagen,27,0
turtles2180,french,valletta,6,1
turtles2185,austrian,vilnius,33,0
turtles2190,slovene,paris,13,1
turtles2195,danish,madrid,40,1
turtles2200,bulgarian,vilnius,0,1
turtles2205,maltese,amsterdam,0,1
turtles2210,cypriot,valletta,31,1
turtles2215,danish,rome,37,0
turtles2220,maltese,vilnius,26,0
turtles2225,dutch,rome,27,0
turtles2230,danish,vilnius,20,1
turtles2235,german,vilnius,4,0
turtles2240,italian,vienna,14,0
turtles2245,greek,vienna,40,1
turtles2250,slovakian,valletta,0,0
turtles2255,danish,madrid,18,0
turtles2260,german,rome,14,1
turtles2265,belgian,valletta,22,1
turtles2270,portuguese,vilnius,12,0
turtles2275,french,amsterdam,17,0
turtles2280,italian,rome,4,0
turtles2285,cypriot,paris,35,0
turtles2290,german,valletta,20,0
turtles2295,hungarian,rome,42,0
turtles2300,estonian,vienna,19,0
turtles2305,french,valletta,15,0
turtles2310,croatian,paris,22,1
turtles2315,irish,vilnius,34,0
turtles2320,polish,copenhagen,25,0
turtles2325,irish,madrid,23,1
turtles2330,lithuanian,paris,21,1
turtles2335,slovene,sofia,26,1
turtles2340,czech,copenhagen,17,0
turtles2345,cypriot,valletta,31,1
turtles2350,spanish,paris,24,0
turtles2355,italian,copenhagen,17,0
turtles2360,german,madrid,23,0
turtles2365,greek,madrid,16,0
turtles2370,portuguese,paris,16,0
turtles2375,maltese,rome,11,0
turtles2380,german,vienna,40,0
turtles2385,estonian,rome,1,1
turtles2390,danish,madrid,2,0
turtles2395,greek,sofia,10,1
turtles2400,croatian,madrid,17,0
turtles2405,danish,copenhagen,5,0
turtles2410,german,vienna,11,0
turtles2415,luxembourgish,vienna,25,1
turtles2420,estonian,vilnius,18,1
turtles2425,romanian,sofia,28,0
turtles2430,slovene,vilnius,35,0
turtles2435,cypriot,rome,42,0
turtles2440,bulgarian,amsterdam,30,0
turtles2445,austrian,madrid,29,0
turtles2450,luxembourgish,vienna,0,0
turtles2455,portuguese,madrid,43,1
turtles2460,lithuanian,sofia,22,0
turtles2465,estonian,vienna,6,1
turtles2470,swedish,rome,39,1
turtles2475,cypriot,amsterdam,14,1
turtles2480,hungarian,amsterdam,26,0
turtles2485,cypriot,amsterdam,36,1
turtles2490,maltese,madrid,29,0
turtles2495,italian,valletta,40,0
turtles2500,luxembourgish,vilnius,31,1
turtles2505,slovakian,paris,1,1
turtles2510,french,rome,11,1
turtles2515,belgian,sofia,24,1
turtles2520,portuguese,rome,10,1
turtles2525,estonian,madrid,37,1
turtles2530,latvian,paris,25,1
turtles2535,slovakian,paris,41,0
turtles2540,hungarian,sofia,14,1
turtles2545,luxembourgish,valletta,36,1
turtles2550,irish,madrid,33,1
turtles2103,luxembourgish,madrid,33,1
turtles2108,polish,copenhagen,26,1
turtles2113,german,paris,3,0
turtles2118,hungarian,amsterdam,0,0
turtles2123,french,sofia,40,0
turtles2128,latvian,copenhagen,2,1
turtles2133,slovakian,madrid,14,0
turtles2138,danish,copenhagen,26,0
turtles2143,irish,amsterdam,34,1
turtles2148,french,rome,5,0
turtles2153,french,vilnius,6,1
turtles2158,romanian,paris,0,1
turtles2163,slovene,paris,32,1
turtles2168,finnish,vienna,40,0
turtles2173,maltese,sofia,38,0
turtles2178,slovakian,madrid,0,1
turtles2183,slovakian,vienna,13,0
turtles2188,maltese,rome,33,0
turtles2193,luxembourgish,vienna,36,1
turtles2198,slovene,copenhagen,40,0
turtles2203,french,rome,14,0
turtles2208,irish,amsterdam,0,0
turtles2213,french,paris,39,1
turtles2218,croatian,vilnius,32,0
turtles2223,slovene,madrid,13,1
turtles2228,danish,copenhagen,32,0
turtles2233,german,amsterdam,42,0
turtles2238,austrian,madrid,3,0
turtles2243,german,sofia,40,1
turtles2248,polish,rome,29,1
turtles2253,irish,paris,20,1
turtles2258,polish,sofia,23,1
turtles2263,austrian,vienna,43,0
turtles2268,bulgarian,copenhagen,41,1
turtles2273,greek,paris,26,1
turtles2278,french,amsterdam,30,0
turtles2283,danish,paris,5,0
turtles2288,finnish,rome,16,1
turtles2293,maltese,amsterdam,34,1
turtles2298,luxembourgish,madrid,9,0
turtles2303,croatian,amsterdam,26,0
turtles2308,danish,vienna,28,1
turtles2313,french,vienna,22,1
turtles2318,greek,amsterdam,15,0
turtles2323,maltese,vienna,18,0
turtles2328,croatian,paris,22,1
turtles2333,slovakian,sofia,11,1
turtles2338,croatian,madrid,32,0
turtles2343,maltese,madrid,15,1
turtles2348,swedish,amsterdam,36,1
turtles2353,french,madrid,24,0
turtles2358,greek,vilnius,22,0
turtles2363,bulgarian,vilnius,43,0
turtles2368,french,vilnius,41,1
turtles2373,maltese,madrid,16,0
turtles2378,greek,vilnius,32,1
turtles2383,dutch,copenhagen,38,1
turtles2388,romanian,amsterdam,39,0
turtles2393,spanish,rome,28,1
turtles2398,slovene,sofia,14,0
turtles2403,estonian,sofia,37,0
turtles2408,czech,vienna,20,0
turtles2413,maltese,vienna,14,1
turtles2418,french,madrid,30,1
turtles2423,latvian,sofia,22,1
turtles2428,latvian,rome,31,0
turtles2433,estonian,valletta,40,1
turtles2438,croatian,vienna,32,0
turtles2443,hungarian,paris,3,1
turtles2448,slovakian,copenhagen,30,0
turtles2453,cypriot,vilnius,32,0
turtles2458,cypriot,paris,10,1
turtles2463,hungarian,copenhagen,31,0
turtles2468,czech,rome,6,0
turtles2473,romanian,madrid,37,0
turtles2478,czech,rome,12,1
turtles2483,estonian,vilnius,10,0
turtles2488,dutch,rome,25,0
turtles2493,croatian,valletta,18,1
turtles2498,latvian,madrid,35,0
turtles2503,spanish,copenhagen,27,1
turtles2508,estonian,sofia,0,1
turtles2513,portuguese,valletta,13,0
turtles2518,swedish,sofia,11,1
turtles2523,hungarian,vilnius,30,0
turtles2528,german,vilnius,18,1
turtles2533,luxembourgish,valletta,41,0
turtles2538,bulgarian,amsterdam,36,0
turtles2543,latvian,amsterdam,17,1
turtles2548,cypriot,amsterdam,10,1
turtles2553,maltese,sofia,40,0
turtles2101,portuguese,amsterdam,15,0
turtles2106,maltese,sofia,11,0
