language,city,date,mobile
cypriot,valletta,3,0
luxembourgish,vienna,18,1
german,valletta,13,1
lithuanian,paris,26,1
maltese,sofia,29,1
latvian,vienna,21,1
danish,sofia,9,0
danish,paris,1,0
bulgarian,madrid,35,0
bulgarian,vilnius,43,0
slovene,sofia,19,1
dutch,rome,35,0
dutch,vilnius,28,1
bulgarian,rome,30,0
swedish,vienna,0,1
slovakian,sofia,1,1
slovakian,rome,17,0
danish,vienna,32,0
italian,valletta,42,1
polish,sofia,6,1
estonian,valletta,1,0
latvian,amsterdam,34,1
maltese,sofia,23,1
portuguese,madrid,8,1
swedish,paris,10,1
croatian,sofia,31,1
cypriot,paris,6,0
cypriot,vilnius,10,1
luxembourgish,vienna,10,0
bulgarian,copenhagen,34,0
estonian,copenhagen,10,1
polish,vienna,40,0
greek,amsterdam,2,0
portuguese,vilnius,7,0
romanian,paris,15,0
latvian,rome,4,0
dutch,sofia,10,1
danish,amsterdam,21,0
lithuanian,paris,2,1
polish,copenhagen,29,0
lithuanian,vilnius,1,1
maltese,madrid,19,1
german,valletta,36,1
hungarian,paris,26,1
luxembourgish,vilnius,23,1
french,vienna,35,0
croatian,rome,25,1
lithuanian,copenhagen,24,0
slovene,rome,18,0
cypriot,rome,28,0
maltese,rome,17,0
irish,sofia,28,1
bulgarian,copenhagen,25,0
spanish,rome,34,1
italian,vienna,27,0
estonian,vilnius,38,0
luxembourgish,rome,19,0
latvian,valletta,29,0
cypriot,sofia,33,0
luxembourgish,copenhagen,22,1
spanish,copenhagen,32,1
croatian,valletta,23,1
danish,sofia,43,0
latvian,copenhagen,11,1
dutch,valletta,23,1
hungarian,madrid,6,1
luxembourgish,amsterdam,8,1
latvian,valletta,0,0
croatian,sofia,35,1
latvian,paris,36,0
bulgarian,copenhagen,36,1
greek,vienna,26,0
polish,amsterdam,11,1
dutch,paris,1,1
swedish,valletta,22,0
italian,amsterdam,37,1
finnish,copenhagen,34,1
german,paris,8,0
irish,amsterdam,15,0
french,vilnius,19,1
lithuanian,vilnius,9,1
austrian,paris,27,1
austrian,vilnius,5,1
austrian,amsterdam,29,1
romanian,vienna,14,1
greek,vienna,18,0
irish,valletta,23,1
slovakian,paris,14,1
danish,sofia,34,1
croatian,vilnius,30,1
cypriot,amsterdam,20,1
bulgarian,amsterdam,16,0
maltese,copenhagen,40,1
german,madrid,2,0
cypriot,valletta,40,0
spanish,vilnius,36,0
italian,amsterdam,36,0
romanian,sofia,21,0
polish,copenhagen,41,0
polish,vienna,24,0
danish,copenhagen,9,0
maltese,rome,7,0
cypriot,vienna,25,0
slovene,paris,11,0
danish,vienna,28,1
bulgarian,paris,17,0
irish,madrid,16,0
portuguese,paris,25,1
cypriot,amsterdam,10,1
dutch,vienna,37,1
french,madrid,12,0
german,amsterdam,20,1
portuguese,madrid,40,1
bulgarian,madrid,5,1
luxembourgish,paris,4,0
irish,madrid,35,0
french,valletta,23,1
polish,sofia,31,0
danish,sofia,12,1
latvian,madrid,30,0
austrian,amsterdam,38,1
dutch,vilnius,27,1
dutch,sofia,33,0
spanish,amsterdam,25,0
maltese,rome,15,1
hungarian,madrid,9,1
czech,vienna,9,0
polish,copenhagen,6,1
lithuanian,copenhagen,44,0
croatian,copenhagen,24,0
french,vilnius,31,0
czech,sofia,40,0
estonian,madrid,19,1
irish,rome,39,1
polish,vilnius,11,0
finnish,paris,14,1
polish,madrid,42,0
dutch,vienna,18,1
danish,vilnius,29,1
austrian,madrid,21,1
spanish,madrid,9,1
greek,paris,27,1
hungarian,vienna,18,0
slovakian,sofia,38,1
italian,paris,18,1
austrian,vilnius,11,0
swedish,rome,18,1
hungarian,amsterdam,40,0
spanish,rome,10,0
slovene,copenhagen,18,1
cypriot,madrid,0,0
estonian,madrid,15,0
austrian,rome,28,0
cypriot,copenhagen,44,1
portuguese,madrid,42,0
romanian,amsterdam,27,1
lithuanian,amsterdam,34,1
romanian,sofia,11,1
estonian,copenhagen,34,0
german,rome,19,0
french,vienna,13,1
dutch,vienna,40,1
bulgarian,rome,8,0
austrian,vienna,29,0
austrian,rome,18,0
french,madrid,40,1
spanish,amsterdam,9,1
maltese,rome,41,1
bulgarian,copenhagen,38,1
spanish,vienna,10,1
luxembourgish,valletta,1,0
luxembourgish,paris,40,1
hungarian,vienna,33,1
maltese,vilnius,36,1
romanian,copenhagen,26,1
latvian,rome,24,1
finnish,madrid,17,0
greek,copenhagen,43,0
danish,rome,25,0
bulgarian,rome,31,0
croatian,madrid,12,1
maltese,paris,15,0
slovene,vienna,38,1
finnish,vienna,31,1
lithuanian,madrid,2,0
romanian,paris,24,1
german,amsterdam,39,1
polish,madrid,20,1
danish,amsterdam,0,1
estonian,copenhagen,7,1
italian,rome,35,0
estonian,vilnius,42,0
italian,copenhagen,34,1
luxembourgish,amsterdam,32,0
swedish,vienna,22,0
austrian,vilnius,44,0
danish,paris,29,0
romanian,amsterdam,24,1
lithuanian,rome,1,1
french,vienna,5,1
lithuanian,sofia,24,0
irish,sofia,35,0
hungarian,valletta,9,0
french,vienna,11,0
luxembourgish,vilnius,6,1
greek,vilnius,23,0
romanian,vienna,37,1
german,paris,28,0
croatian,vienna,22,0
bulgarian,madrid,5,0
italian,sofia,24,0
german,paris,35,1
romanian,madrid,33,1
irish,sofia,1,0
cypriot,amsterdam,25,0
bulgarian,vienna,32,0
