iter	Passed	Remaining
0	77	191156
1	103	128051
2	129	106861
3	157	97467
4	182	90320
5	208	85892
6	255	90318
7	291	89882
8	316	86953
9	342	84460
10	367	82526
11	393	80951
12	419	79627
13	447	78697
14	473	77746
15	503	77464
16	531	77011
17	564	77106
18	591	76510
19	617	75874
20	646	75582
21	672	75116
22	705	75277
23	732	74922
24	761	74709
25	786	74151
26	813	73817
27	839	73478
28	866	73134
29	891	72717
30	920	72642
31	946	72330
32	972	72066
33	998	71788
34	1024	71522
35	1050	71283
36	1076	71017
37	1103	70846
38	1136	71056
39	1162	70877
40	1191	70837
41	1224	71024
42	1259	71330
43	1286	71153
44	1313	71018
45	1344	71080
46	1371	70925
47	1396	70722
48	1423	70551
49	1448	70326
50	1473	70125
51	1500	70010
52	1532	70120
53	1561	70100
54	1587	69954
55	1618	70008
56	1693	71948
57	1765	73653
58	1844	75632
59	1918	77319
60	1994	79019
61	2068	80623
62	2134	81834
63	2176	82086
64	2203	81799
65	2264	82768
66	2345	84414
67	2394	84856
68	2422	84575
69	2448	84240
70	2475	83931
71	2507	83783
72	2534	83488
73	2560	83179
74	2585	82854
75	2612	82572
76	2641	82375
77	2668	82097
78	2693	81806
79	2719	81517
80	2748	81327
81	2775	81108
82	2801	80839
83	2827	80590
84	2858	80461
85	2883	80197
86	2908	79942
87	2934	79699
88	2960	79460
89	2985	79205
90	3009	78949
91	3034	78691
92	3065	78603
93	3089	78362
94	3114	78113
95	3139	77899
96	3164	77673
97	3189	77460
98	3214	77235
99	3242	77111
100	3282	77247
101	3308	77058
102	3333	76867
103	3361	76728
104	3386	76542
105	3411	76345
106	3437	76176
107	3464	76023
108	3500	76084
109	3526	75916
110	3552	75760
111	3577	75583
112	3606	75480
113	3631	75315
114	3656	75136
115	3685	75053
116	3717	75025
117	3743	74876
118	3769	74723
119	3795	74579
120	3821	74447
121	3847	74292
122	3873	74155
123	3899	74024
124	3928	73958
125	3962	73965
126	3988	73839
127	4015	73721
128	4044	73645
129	4071	73540
130	4097	73404
131	4122	73271
132	4155	73271
133	4181	73138
134	4207	73029
135	4234	72912
136	4263	72849
137	4290	72743
138	4316	72629
139	4342	72514
140	4369	72421
141	4396	72329
142	4422	72220
143	4453	72185
144	4479	72068
145	4503	71938
146	4528	71810
147	4553	71694
148	4582	71621
149	4609	71535
150	4638	71480
151	4663	71358
152	4690	71271
153	4714	71150
154	4747	71146
155	4779	71140
156	4805	71043
157	4831	70946
158	4858	70859
159	4884	70762
160	4915	70745
161	4941	70638
162	4966	70539
163	4997	70511
164	5025	70442
165	5050	70347
166	5084	70362
167	5111	70281
168	5137	70194
169	5164	70112
170	5189	70017
171	5229	70107
172	5254	70012
173	5281	69935
174	5307	69853
175	5335	69785
176	5362	69706
177	5388	69626
178	5419	69605
179	5450	69581
180	5475	69486
181	5500	69385
182	5526	69304
183	5557	69283
184	5583	69203
185	5609	69125
186	5636	69058
187	5665	69013
188	5690	68919
189	5716	68839
190	5743	68766
191	5768	68678
192	5794	68602
193	5820	68524
194	5846	68451
195	5875	68410
196	5902	68344
197	5928	68262
198	5954	68194
199	5981	68128
200	6017	68165
201	6043	68092
202	6068	68014
203	6097	67966
204	6124	67906
205	6151	67845
206	6176	67764
207	6209	67767
208	6236	67706
209	6262	67638
210	6288	67564
211	6318	67532
212	6345	67474
213	6372	67417
214	6403	67404
215	6429	67330
216	6454	67251
217	6480	67179
218	6507	67129
219	6541	67144
220	6569	67091
221	6595	67024
222	6621	66954
223	6647	66894
224	6673	66824
225	6698	66747
226	6724	66683
227	6758	66697
228	6783	66622
229	6809	66553
230	6834	66480
231	6859	66408
232	6886	66347
233	6911	66278
234	6939	66238
235	6970	66220
236	7000	66191
237	7029	66158
238	7055	66093
239	7080	66023
240	7106	65964
241	7132	65899
242	7157	65834
243	7190	65830
244	7221	65821
245	7246	65748
246	7271	65676
247	7297	65619
248	7323	65562
249	7351	65514
250	7382	65499
251	7411	65466
252	7436	65403
253	7462	65338
254	7487	65271
