iter	Passed	Remaining
0	76	189452
1	101	125185
2	126	104492
3	150	93374
4	175	86805
5	199	82319
6	224	79107
7	253	78152
8	282	77543
9	307	75787
10	332	74468
11	356	73343
12	383	72803
13	409	72154
14	434	71338
15	459	70662
16	495	71790
17	529	72338
18	554	71798
19	579	71160
20	604	70674
21	628	70179
22	652	69666
23	678	69348
24	712	69863
25	736	69433
26	763	69274
27	788	69005
28	814	68802
29	839	68473
30	863	68195
31	892	68188
32	923	68442
33	948	68154
34	973	67921
35	998	67714
36	1022	67477
37	1048	67309
38	1073	67146
39	1100	67060
40	1134	67425
41	1159	67226
42	1185	67153
43	1211	67004
44	1236	66872
45	1261	66716
46	1286	66550
47	1311	66398
48	1340	66472
49	1374	66723
50	1398	66568
51	1424	66452
52	1449	66319
53	1474	66167
54	1510	66524
55	1535	66402
56	1562	66372
57	1587	66244
58	1612	66118
59	1638	66016
60	1663	65896
61	1687	65752
62	1713	65700
63	1743	65754
64	1768	65661
65	1793	65553
66	1818	65443
67	1843	65330
68	1870	65314
69	1897	65258
70	1922	65178
71	1955	65355
72	1980	65243
73	2007	65219
74	2034	65173
75	2060	65120
76	2088	65132
77	2117	65148
78	2145	65150
79	2197	65880
80	2225	65848
81	2252	65809
82	2277	65723
83	2305	65709
84	2332	65673
85	2358	65590
86	2388	65638
87	2422	65794
88	2450	65779
89	2491	66094
90	2519	66079
91	2546	66033
92	2574	66019
93	2608	66144
94	2638	66176
95	2664	66107
96	2691	66071
97	2717	66005
98	2743	65933
99	2768	65832
100	2793	65741
101	2823	65777
102	2852	65782
103	2879	65733
104	2906	65689
105	2932	65614
106	2957	65524
107	2981	65426
108	3006	65346
109	3038	65412
110	3067	65415
111	3092	65339
112	3118	65265
113	3143	65178
114	3172	65186
115	3197	65104
116	3221	65017
117	3248	64966
118	3280	65023
119	3305	64949
120	3329	64864
121	3354	64775
122	3396	65025
123	3481	66093
124	3573	67263
125	3676	68621
126	3794	70251
127	3877	71197
128	3973	72359
129	4062	73380
130	4121	73842
131	4164	74008
132	4188	73853
133	4213	73709
134	4241	73606
135	4276	73636
136	4355	74432
137	4453	75510
138	4519	76049
139	4582	76533
140	4654	77137
141	4859	79950
142	5089	83103
143	5172	83835
144	5264	84709
145	5356	85552
146	5454	86486
147	5479	86262
148	5503	86032
149	5530	85831
150	5559	85682
151	5597	85657
152	5623	85451
153	5647	85232
154	5673	85029
155	5698	84827
156	5723	84611
157	5761	84594
158	5787	84405
159	5811	84189
160	5837	84013
161	5871	83939
162	5896	83742
163	5920	83542
164	5945	83348
165	5972	83190
166	5998	83005
167	6027	82874
168	6052	82687
169	6077	82510
170	6103	82338
171	6128	82167
172	6160	82074
173	6188	81943
174	6213	81763
175	6238	81598
176	6262	81417
177	6287	81245
178	6312	81071
179	6336	80901
180	6361	80734
181	6396	80693
182	6421	80526
183	6445	80364
184	6470	80200
185	6495	80045
186	6519	79872
187	6544	79716
188	6568	79553
189	6602	79511
190	6628	79371
191	6655	79243
192	6681	79109
193	6720	79118
194	6745	78972
195	6769	78818
196	6794	78671
197	6824	78583
198	6848	78436
199	6873	78292
200	6898	78149
201	6923	78007
202	6947	77864
203	6972	77722
204	7001	77628
205	7029	77533
206	7067	77540
207	7097	77456
208	7125	77361
209	7154	77263
210	7182	77172
211	7210	77068
212	7239	76988
213	7272	76943
214	7297	76811
215	7322	76679
216	7348	76563
217	7373	76440
218	7398	76315
219	7422	76179
220	7453	76120
221	7479	76004
222	7503	75875
223	7532	75793
224	7560	75710
225	7589	75627
226	7617	75539
227	7642	75421
228	7683	75454
229	7714	75396
230	7738	75278
231	7763	75159
232	7788	75047
233	7815	74945
234	7843	74865
235	7873	74798
236	7910	74802
237	7936	74697
238	7965	74620
239	7990	74510
240	8017	74415
241	8045	74334
242	8072	74244
243	8098	74150
244	8127	74073
245	8151	73961
246	8175	73845
247	8204	73772
248	8232	73698
249	8259	73609
250	8291	73570
251	8316	73464
252	8345	73391
253	8373	73317
254	8397	73210
255	8423	73114
256	8448	73010
257	8473	72913
258	8503	72857
259	8528	72753
260	8558	72695
261	8583	72601
262	8608	72501
263	8633	72407
264	8663	72351
265	8705	72391
266	8732	72310
267	8760	72239
268	8785	72143
269	8809	72042
270	8833	71942
271	8859	71850
272	8884	71756
273	8913	71696
274	8941	71632
275	8970	71567
276	8996	71487
277	9022	71401
278	9048	71314
279	9072	71216
280	9097	71128
281	9131	71105
282	9155	71010
283	9184	70953
284	9209	70864
285	9233	70769
286	9257	70676
287	9281	70581
288	9309	70511
289	9339	70463
290	9364	70376
291	9393	70322
292	9417	70232
293	9441	70138
294	9466	70053
295	9491	69966
296	9521	69920
297	9547	69841
298	9572	69758
299	9601	69704
300	9625	69617
301	9653	69556
302	9686	69530
303	9711	69453
304	9735	69363
305	9761	69284
306	9786	69209
307	9817	69166
308	9843	69098
309	9870	69027
310	9900	68987
311	9933	68959
312	9959	68889
313	9985	68816
314	10009	68733
315	10042	68710
316	10067	68627
317	10092	68549
318	10117	68474
319	10142	68395
320	10166	68315
321	10191	68236
322	10219	68182
323	10245	68115
324	10272	68050
325	10297	67976
326	10327	67932
327	10352	67857
328	10377	67782
329	10402	67712
330	10430	67656
331	10455	67582
332	10480	67512
333	10505	67437
334	10536	67403
335	10561	67327
336	10587	67263
337	10612	67192
338	10650	67200
339	10674	67123
340	10700	67061
341	10728	67003
342	10754	66938
343	10779	66868
344	10807	66819
345	10832	66749
346	10864	66722
347	10889	66651
348	10915	66590
349	10940	66521
350	10965	66446
351	10990	66377
352	11015	66311
353	11044	66265
354	11071	66208
355	11095	66136
356	11120	66067
357	11144	65997
358	11169	65928
359	11193	65857
360	11218	65789
361	11247	65743
362	11275	65697
363	11301	65632
364	11326	65568
365	11351	65504
366	11376	65440
367	11401	65371
368	11426	65310
369	11452	65246
370	11479	65196
371	11509	65160
372	11534	65092
373	11560	65035
374	11585	64971
375	11615	64938
376	11645	64899
377	11669	64832
378	11700	64801
379	11725	64738
380	11751	64679
381	11777	64620
382	11801	64555
383	11831	64516
384	11857	64463
385	11882	64402
386	11910	64354
387	11937	64300
388	11962	64239
389	11987	64177
390	12012	64116
391	12037	64055
392	12062	63994
393	12087	63934
394	12116	63893
395	12141	63833
396	12171	63798
397	12195	63736
398	12220	63673
399	12245	63614
400	12270	63556
401	12295	63495
402	12323	63451
403	12347	63388
404	12372	63326
405	12397	63268
406	12423	63217
407	12448	63156
408	12474	63106
409	12506	63082
410	12534	63038
411	12558	62975
412	12584	62920
413	12619	62914
414	12643	62853
415	12668	62794
416	12692	62733
417	12722	62701
418	12750	62657
419	12776	62602
420	12806	62570
421	12831	62517
422	12857	62464
423	12883	62409
424	12908	62353
425	12940	62332
426	12968	62292
427	12994	62239
428	13019	62182
429	13043	62122
430	13067	62063
431	13092	62009
432	13117	61953
433	13149	61931
434	13178	61892
435	13203	61837
436	13228	61783
437	13254	61734
438	13279	61680
439	13305	61628
440	13336	61601
441	13361	61549
442	13390	61513
443	13415	61458
444	13440	61403
445	13465	61348
446	13490	61296
447	13514	61237
448	13547	61222
449	13579	61197
450	13614	61190
451	13638	61134
452	13663	61077
453	13687	61021
454	13712	60967
455	13742	60934
456	13772	60907
457	13799	60860
458	13828	60827
459	13854	60778
460	13879	60725
461	13903	60671
462	13928	60617
463	13953	60566
464	13984	60539
465	14009	60487
466	14037	60446
467	14061	60391
468	14085	60334
469	14109	60279
470	14132	60222
471	14157	60170
472	14182	60120
473	14213	60093
474	14242	60057
475	14266	60003
476	14291	59952
477	14317	59904
478	14342	59854
479	14367	59804
480	14392	59752
481	14417	59702
482	14446	59670
483	14471	59621
484	14497	59576
485	14522	59525
486	14547	59473
487	14581	59460
488	14611	59430
489	14636	59380
490	14664	59345
491	14688	59293
492	14718	59261
493	14744	59217
494	14816	59354
495	14893	59512
496	14950	59592
497	14995	59619
498	15069	59766
499	15130	59855
500	15198	59975
501	15253	60042
502	15308	60106
503	15335	60062
504	15365	60030
505	15421	60101
506	15504	60276
507	15544	60281
508	15570	60231
509	15595	60179
510	15619	60125
511	15644	60074
512	15670	60023
513	15703	60002
514	15728	59949
515	15756	59911
516	15781	59858
517	15806	59806
518	15831	59755
519	15855	59703
520	15880	59649
521	15911	59624
522	15936	59569
523	15964	59530
524	15989	59481
525	16014	59429
526	16038	59377
527	16062	59322
528	16087	59272
529	16119	59245
530	16143	59191
531	16171	59153
532	16198	59109
533	16225	59066
534	16249	59013
535	16273	58962
536	16298	58911
537	16331	58890
538	16356	58841
539	16385	58806
540	16410	58756
541	16435	58705
542	16459	58653
543	16484	58604
544	16519	58592
545	16550	58564
546	16575	58513
547	16604	58477
548	16628	58428
549	16658	58397
550	16684	58350
551	16709	58300
552	16733	58248
553	16757	58197
554	16782	58148
555	16810	58111
556	16835	58063
557	16863	58025
558	16889	57978
559	16918	57946
560	16943	57896
561	16967	57845
562	16991	57796
563	17020	57761
564	17045	57714
565	17069	57661
566	17094	57613
567	17125	57587
568	17150	57540
569	17176	57494
570	17200	57446
571	17228	57408
572	17252	57358
573	17277	57312
574	17302	57262
575	17335	57244
576	17360	57195
577	17387	57154
578	17411	57105
579	17440	57074
580	17465	57025
581	17500	57012
582	17532	56988
583	17557	56941
584	17584	56901
585	17612	56863
586	17643	56839
587	17669	56793
588	17693	56745
589	17718	56697
590	17749	56673
591	17774	56624
592	17799	56579
593	17825	56535
594	17853	56500
595	17879	56459
596	17905	56414
597	17937	56392
598	17962	56347
599	17987	56300
600	18013	56257
601	18039	56214
602	18068	56182
603	18093	56137
604	18117	56090
605	18149	56065
606	18174	56021
607	18200	55977
608	18225	55933
609	18252	55894
610	18280	55858
611	18305	55814
612	18330	55769
613	18363	55748
614	18387	55701
615	18412	55656
616	18437	55610
617	18472	55596
618	18501	55563
619	18525	55517
620	18549	55470
621	18587	55463
622	18612	55419
623	18637	55373
624	18661	55328
625	18685	55281
626	18714	55248
627	18738	55202
628	18763	55157
629	18788	55114
630	18814	55070
631	18840	55030
632	18866	54989
633	18891	54946
634	18919	54910
635	18944	54869
636	18975	54841
637	18999	54796
638	19024	54751
639	19049	54707
640	19075	54667
641	19101	54626
642	19131	54597
643	19163	54575
644	19188	54530
645	19213	54487
646	19238	54444
647	19262	54400
648	19287	54356
649	19312	54312
650	19340	54277
651	19365	54235
652	19389	54190
653	19414	54147
654	19450	54133
655	19478	54100
656	19504	54059
657	19530	54020
658	19565	54004
659	19590	53961
660	19615	53919
661	19639	53874
662	19663	53830
663	19694	53802
664	19718	53758
