avatar_name,language,city,date,mobile
turtles1400,czech,amsterdam,39,0
turtles1400,czech,amsterdam,23,0
turtles1400,czech,amsterdam,11,1
turtles1403,swedish,vilnius,15,0
turtles1406,danish,copenhagen,38,1
turtles1409,estonian,madrid,37,1
turtles1409,estonian,madrid,37,1
turtles1409,spanish,madrid,14,1
turtles1409,estonian,madrid,2,1
turtles1412,cypriot,vienna,24,1
turtles1412,cypriot,vienna,14,1
turtles1412,cypriot,vienna,13,0
turtles1415,swedish,sofia,14,0
turtles1418,slovakian,copenhagen,40,1
turtles1418,slovakian,copenhagen,21,0
turtles1418,slovakian,copenhagen,18,1
turtles1421,dutch,paris,39,0
turtles1424,spanish,rome,22,0
turtles1424,spanish,rome,8,1
turtles1427,german,sofia,22,1
turtles1427,german,sofia,3,1
turtles1430,bulgarian,sofia,31,1
turtles1430,bulgarian,sofia,23,1
turtles1430,bulgarian,sofia,10,1
turtles1433,croatian,sofia,31,1
turtles1433,croatian,vilnius,18,1
turtles1433,croatian,vilnius,16,1
turtles1436,czech,paris,36,1
turtles1436,czech,paris,29,0
turtles1436,czech,paris,26,1
turtles1439,swedish,vienna,41,1
turtles1439,swedish,vienna,8,1
turtles1439,swedish,vienna,0,0
turtles1442,finnish,copenhagen,26,0
turtles1445,finnish,amsterdam,37,1
turtles1445,finnish,amsterdam,22,0
turtles1445,finnish,amsterdam,0,1
turtles1448,slovene,sofia,34,1
turtles1451,italian,valletta,23,1
turtles1454,latvian,vienna,18,1
turtles1454,latvian,vienna,11,1
turtles1454,latvian,vienna,5,0
turtles1454,latvian,vienna,3,1
turtles1457,irish,sofia,41,1
turtles1457,irish,sofia,37,1
turtles1457,irish,sofia,35,1
turtles1457,irish,sofia,29,0
turtles1460,latvian,rome,38,1
turtles1460,latvian,rome,32,1
turtles1460,latvian,rome,26,1
turtles1460,latvian,rome,18,1
turtles1463,french,paris,38,0
turtles1463,french,paris,18,0
turtles1463,french,paris,4,1
turtles1466,portuguese,paris,27,1
turtles1466,portuguese,paris,6,0
turtles1469,croatian,vilnius,40,0
turtles1469,croatian,vilnius,34,1
turtles1469,croatian,vilnius,26,1
turtles1469,croatian,vilnius,1,0
turtles1472,romanian,vilnius,23,0
